"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","64","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","","","","","","","","","","","","","",""
"","","","","","instructions","1","3314","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","[{""page_index"":0,""viewing_time"":3249}]","3249","","","","","","","","","","","",""
"","","","","","instructions","2","6779","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","[{""page_index"":0,""viewing_time"":3464}]","3465","","","","","","","","","","","",""
"","","","","","audio-button-response","3","98380","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","","91141","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","110947","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","","12485","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","122780","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","","11835","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","125930","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","","3147","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","128830","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","","2896","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","137097","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","[{""page_index"":0,""viewing_time"":8265}]","8266","","","","","","","","","","","",""
"","","","","","audio-button-response","9","142480","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq050_len120_s70_isi-1p0_0p0_16p0.json","11.45","true","xjceul0tp4g","","4837","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
