"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","19","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","","","","","","","","","","","","",""
"","","","","","instructions","1","2617","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","[{""page_index"":0,""viewing_time"":2597}]","2597","","","","","","","","","","","",""
"","","","","","instructions","2","3388","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","[{""page_index"":0,""viewing_time"":771}]","771","","","","","","","","","","","",""
"","","","","","audio-button-response","3","7670","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","4272","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","8655","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","[{""page_index"":0,""viewing_time"":985}]","985","","","","","","","","","","","",""
"","","","","","audio-button-response","5","13677","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","4360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","18432","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","4291","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","23105","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","4200","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","27731","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","4160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","32408","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","4208","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","37124","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","4259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","11","38490","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","1365","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","44790","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","[{""page_index"":0,""viewing_time"":1270},{""page_index"":1,""viewing_time"":1987},{""page_index"":2,""viewing_time"":1523},{""page_index"":3,""viewing_time"":1519}]","6300","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","44857","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","47876","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","2272","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","47935","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","50615","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","2131","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","50671","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","52770","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","2099","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","19","52830","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","55624","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","2251","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","21","55684","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","22","57751","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","2072","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","2","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","23","57809","0.0-8.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","24","60319","0.0-8.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","2051","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1020_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","25","60372","0.0-8.0-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","26","63066","0.0-8.0-1.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","2141","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1019_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","27","63123","0.0-8.0-0.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","28","65345","0.0-8.0-1.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","2221","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","2","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","29","66128","0.0-9.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq004_len120_s70_isi-1p0_0p0_16p0.json","11.129999999999999","true","ybctqv5sw90","","782","<p>You are now ready to start the experiment. Press SPACE when you are ready to start.</p>"," ","","","","","","","","","",""
