"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","302","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","","","","","","","","","","","","","",""
"","","","","","instructions","1","15295","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","[{""page_index"":0,""viewing_time"":14985}]","14992","","","","","","","","","","","",""
"","","","","","instructions","2","17170","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","[{""page_index"":0,""viewing_time"":1870}]","1871","","","","","","","","","","","",""
"","","","","","audio-button-response","3","27660","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","","9891","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","32522","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","[{""page_index"":0,""viewing_time"":4850}]","4853","","","","","","","","","","","",""
"","","","","","audio-button-response","5","37249","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","","3920","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","42008","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","","4139","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","46848","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","","4059","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","51311","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","","3960","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","59368","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq044_len120_s70_isi-1p0_0p0_16p0.json","10.72","true","yvzea1jplen","","7259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
