"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","135","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","","","","","","","","","","","","","",""
"","","","","","instructions","1","2477","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","[{""page_index"":0,""viewing_time"":2342}]","2343","","","","","","","","","","","",""
"","","","","","instructions","2","7125","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","[{""page_index"":0,""viewing_time"":4647}]","4647","","","","","","","","","","","",""
"","","","","","audio-button-response","3","21547","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","","14341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","25285","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","","3739","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","29431","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","","4152","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","36864","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","[{""page_index"":0,""viewing_time"":7432}]","7432","","","","","","","","","","","",""
"","","","","","audio-button-response","7","41361","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","","4019","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","45365","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","","3680","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","49593","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","","3851","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","53879","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","01zrp0w3xu9","","3912","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
