"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","231","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","","","","","","","","","","","","","",""
"","","","","","instructions","1","51674","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","[{""page_index"":0,""viewing_time"":51438}]","51438","","","","","","","","","","","",""
"","","","","","instructions","2","53455","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","[{""page_index"":0,""viewing_time"":1780}]","1780","","","","","","","","","","","",""
"","","","","","audio-button-response","3","56819","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","","3360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","60398","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","[{""page_index"":0,""viewing_time"":3577}]","3577","","","","","","","","","","","",""
"","","","","","audio-button-response","5","65837","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","","4189","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","70859","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","","4189","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","77614","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","","5509","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","83063","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","","4019","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","86993","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq052_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","6q3fay5lcyu","","3029","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
