"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","79","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","","","","","","","","","","","","",""
"","","","","","instructions","1","2851","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","[{""page_index"":0,""viewing_time"":2772}]","2772","","","","","","","","","","","",""
"","","","","","instructions","2","8706","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","[{""page_index"":0,""viewing_time"":5855}]","5855","","","","","","","","","","","",""
"","","","","","audio-button-response","3","31228","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","22507","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","35342","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","4112","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","46112","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","[{""page_index"":0,""viewing_time"":10769}]","10769","","","","","","","","","","","",""
"","","","","","audio-button-response","6","50962","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","55745","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","4453","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","60323","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","4283","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","65069","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","4304","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","69620","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","4117","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","73900","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","3856","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","12","75874","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","1973","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","114779","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","[{""page_index"":0,""viewing_time"":5091},{""page_index"":1,""viewing_time"":9648},{""page_index"":2,""viewing_time"":20302},{""page_index"":3,""viewing_time"":3864}]","38904","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","114831","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","118577","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","3205","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","118628","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","121577","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","2608","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","121628","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","124518","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","2885","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","20","124570","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","21","128295","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","3259","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","1","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","22","128347","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","23","131230","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","2885","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","24","131282","0.0-8.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","25","134154","0.0-8.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","2443","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1020_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","26","134206","0.0-8.0-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","27","136896","0.0-8.0-1.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","2341","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1019_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","28","136948","0.0-8.0-0.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","29","139689","0.0-8.0-1.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","2741","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","30","141613","0.0-9.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","1924","<p>You are now ready to start the experiment. Press SPACE when you are ready to start.</p>"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","31","141666","0.0-10.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","32","144507","0.0-10.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq245_len120_s0_isi-1p0_0p0_16p0.json","11.129999999999999","true","fhvnuzuwowk","","2368","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/mem_stim_41.wav","0","main","","","false","mem_stim_41.wav","false","-1","","1","correct_rejection"
