"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","245","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","","","","","","","","","","","","",""
"","","","","","instructions","1","3516","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","[{""page_index"":0,""viewing_time"":3270}]","3270","","","","","","","","","","","",""
"","","","","","instructions","2","14632","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","[{""page_index"":0,""viewing_time"":11115}]","11116","","","","","","","","","","","",""
"","","","","","audio-button-response","3","52065","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","37042","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","61064","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","8324","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","74415","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","[{""page_index"":0,""viewing_time"":13350}]","13351","","","","","","","","","","","",""
"","","","","","audio-button-response","6","82215","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","5352","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","89498","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","5300","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","101380","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","4992","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","108847","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","5155","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","115314","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","4917","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","122197","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","4841","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","12","124535","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","2337","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","176014","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","[{""page_index"":0,""viewing_time"":7211},{""page_index"":1,""viewing_time"":16016},{""page_index"":2,""viewing_time"":21700},{""page_index"":3,""viewing_time"":6551}]","51478","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","176065","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","182081","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","3593","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","182133","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","193114","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","3303","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","193166","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq062_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","h7j7a1oyysq","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
