"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","76","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","","","","","","","","","","","","",""
"","","","","","instructions","1","11273","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","[{""page_index"":0,""viewing_time"":11195}]","11196","","","","","","","","","","","",""
"","","","","","instructions","2","17451","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","[{""page_index"":0,""viewing_time"":6177}]","6177","","","","","","","","","","","",""
"","","","","","audio-button-response","3","26463","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","8920","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","30039","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","3571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","46366","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","16331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","49049","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","2680","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","56377","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","[{""page_index"":0,""viewing_time"":7326}]","7326","","","","","","","","","","","",""
"","","","","","audio-button-response","8","61896","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","5019","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","67723","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","5301","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","73286","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","5120","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","78338","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","4589","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","12","83798","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","4901","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","89315","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","4920","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","14","104410","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","15093","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","157285","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","[{""page_index"":0,""viewing_time"":12423},{""page_index"":1,""viewing_time"":10041},{""page_index"":2,""viewing_time"":23608},{""page_index"":3,""viewing_time"":6801}]","52874","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","157336","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","163303","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","4981","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","163364","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","166862","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","2861","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","20","166931","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","hb1m1ndt6xt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
