"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","159","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","","","","","","","","","","","","",""
"","","","","","instructions","1","1418","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","[{""page_index"":0,""viewing_time"":1259}]","1259","","","","","","","","","","","",""
"","","","","","instructions","2","4686","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","[{""page_index"":0,""viewing_time"":3267}]","3267","","","","","","","","","","","",""
"","","","","","audio-button-response","3","16374","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","11432","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","23246","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","6869","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","34814","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","11571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","39005","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","4189","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","42326","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","[{""page_index"":0,""viewing_time"":3320}]","3321","","","","","","","","","","","",""
"","","","","","audio-button-response","8","47930","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","4832","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","53322","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","4651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","58174","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","4371","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","63701","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","5048","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","69122","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","4560","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","74154","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","4480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","14","75888","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","1734","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","128998","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","[{""page_index"":0,""viewing_time"":3261},{""page_index"":1,""viewing_time"":8765},{""page_index"":2,""viewing_time"":36892},{""page_index"":3,""viewing_time"":4192}]","53109","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","129050","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","132705","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","2488","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","132757","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","135866","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq003_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","lhc6wdhczjx","","2469","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
