"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","22","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","","","","","","","","","","","","","",""
"","","","","","instructions","1","3757","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","[{""page_index"":0,""viewing_time"":3735}]","3735","","","","","","","","","","","",""
"","","","","","instructions","2","4565","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","[{""page_index"":0,""viewing_time"":807}]","808","","","","","","","","","","","",""
"","","","","","audio-button-response","3","8333","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","","3571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","10469","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","[{""page_index"":0,""viewing_time"":2135}]","2135","","","","","","","","","","","",""
"","","","","","audio-button-response","5","15221","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","","4731","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","19861","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","","4621","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","24869","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","","4989","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","29437","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","","4549","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","34341","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.66","true","llwbpg1ugqv","","4891","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
