"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","263","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","","","","","","","","","","","","",""
"","","","","","instructions","1","2470","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","[{""page_index"":0,""viewing_time"":2207}]","2207","","","","","","","","","","","",""
"","","","","","instructions","2","9606","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","[{""page_index"":0,""viewing_time"":7135}]","7135","","","","","","","","","","","",""
"","","","","","audio-button-response","3","27110","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","17451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","36300","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","9189","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","40351","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","4051","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","51901","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","11549","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","59724","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","7821","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","76246","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","16531","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","9","89828","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","[{""page_index"":0,""viewing_time"":13581}]","13581","","","","","","","","","","","",""
"","","","","","audio-button-response","10","94942","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","4928","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","106583","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","11488","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","12","111174","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","4392","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","13","115525","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","4221","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","14","119831","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","4179","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","15","124148","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","4189","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","16","127341","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","","3192","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","17","180368","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq070_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","lvsjd57zzas","[{""page_index"":0,""viewing_time"":12316},{""page_index"":1,""viewing_time"":11444},{""page_index"":2,""viewing_time"":25235},{""page_index"":3,""viewing_time"":4031}]","53027","","","","","","","","","","","",""
