"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","54","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","","","","","","","","","","","","",""
"","","","","","instructions","1","16934","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","[{""page_index"":0,""viewing_time"":16877}]","16878","","","","","","","","","","","",""
"","","","","","instructions","2","26787","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","[{""page_index"":0,""viewing_time"":9851}]","9851","","","","","","","","","","","",""
"","","","","","audio-button-response","3","74079","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","47093","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","78033","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","3627","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","81772","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","3739","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","85512","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","3736","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","90200","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","4685","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","97465","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","7259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","9","106222","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","[{""page_index"":0,""viewing_time"":8756}]","8756","","","","","","","","","","","",""
"","","","","","audio-button-response","10","112306","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","5731","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","117824","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","4891","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","12","123029","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","4632","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","128311","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","4904","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","14","133382","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","4781","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","15","138482","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","4896","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","16","247726","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","109232","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","17","301825","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","[{""page_index"":0,""viewing_time"":6527},{""page_index"":1,""viewing_time"":10532},{""page_index"":2,""viewing_time"":29685},{""page_index"":3,""viewing_time"":7346}]","54090","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","301881","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq154_len120_s0_isi-1p0_0p0_16p0.json","10.75","true","lwtmg1q49s0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
