"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","162","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","","","","","","","","","","","","","",""
"","","","","","instructions","1","2207","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","[{""page_index"":0,""viewing_time"":2041}]","2041","","","","","","","","","","","",""
"","","","","","instructions","2","5843","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","[{""page_index"":0,""viewing_time"":3635}]","3635","","","","","","","","","","","",""
"","","","","","audio-button-response","3","15379","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","","9472","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","16553","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","","1171","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","22263","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","[{""page_index"":0,""viewing_time"":5709}]","5709","","","","","","","","","","","",""
"","","","","","audio-button-response","6","27703","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","","4899","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","33239","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","","4720","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","38652","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","","4701","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","44426","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq039_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","osh4sjbrv6m","","4829","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
