"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","744","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","","","","","","","","","","","","",""
"","","","","","instructions","1","21424","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","[{""page_index"":0,""viewing_time"":20678}]","20679","","","","","","","","","","","",""
"","","","","","instructions","2","44044","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","[{""page_index"":0,""viewing_time"":22619}]","22620","","","","","","","","","","","",""
"","","","","","audio-button-response","3","66823","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","22211","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","76041","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","9221","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","113920","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","37379","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","160971","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","46611","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","172991","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","[{""page_index"":0,""viewing_time"":12019}]","12019","","","","","","","","","","","",""
"","","","","","audio-button-response","8","185096","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","9960","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","191503","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","5160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","198851","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","5501","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","205081","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","4851","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","212290","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","5171","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","13","220026","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","4968","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","14","223072","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","3042","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","328730","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","[{""page_index"":0,""viewing_time"":7178},{""page_index"":1,""viewing_time"":16688},{""page_index"":2,""viewing_time"":70276},{""page_index"":3,""viewing_time"":11515}]","105657","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","328784","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","339016","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","6680","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","339080","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","343929","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","3059","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","20","343990","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","21","348475","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","4488","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","22","348528","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","23","358607","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","8669","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","24","358658","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","25","362118","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","su4y3ecm70b","","3459","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","1","","","","","",""
