"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","61","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","","","","","","","","","","","","",""
"","","","","","instructions","1","16940","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","[{""page_index"":0,""viewing_time"":16878}]","16879","","","","","","","","","","","",""
"","","","","","instructions","2","22171","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","[{""page_index"":0,""viewing_time"":5229}]","5230","","","","","","","","","","","",""
"","","","","","audio-button-response","3","40705","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","18392","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","44522","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","3811","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","57215","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","[{""page_index"":0,""viewing_time"":12692}]","12692","","","","","","","","","","","",""
"","","","","","audio-button-response","6","62499","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","4992","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","67139","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","4360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","71763","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","4411","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","76595","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","4619","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","81235","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","4419","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","85771","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","4331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","12","88864","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq040_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","tf6ge9da7k3","","3091","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
