"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","117","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","","","","","","","","","","","","",""
"","","","","","instructions","1","3104","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","[{""page_index"":0,""viewing_time"":2986}]","2987","","","","","","","","","","","",""
"","","","","","instructions","2","12354","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","[{""page_index"":0,""viewing_time"":9249}]","9249","","","","","","","","","","","",""
"","","","","","audio-button-response","3","34666","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","22219","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","46126","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","11462","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","66993","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","20869","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","71259","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","4270","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","87767","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","[{""page_index"":0,""viewing_time"":16507}]","16507","","","","","","","","","","","",""
"","","","","","audio-button-response","8","102587","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","13090","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","109149","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","5671","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","114880","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","4830","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","120866","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","4989","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","128725","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","4931","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","134643","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","4992","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","14","137246","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","2602","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","209419","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","[{""page_index"":0,""viewing_time"":6749},{""page_index"":1,""viewing_time"":14580},{""page_index"":2,""viewing_time"":43259},{""page_index"":3,""viewing_time"":7585}]","72173","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","209472","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","217210","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","4342","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","217265","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","223069","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","4682","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","20","223120","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","wj0a6qjnn25","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
