"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","530","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","","","","","","","","","","","","","",""
"","","","","","instructions","1","52291","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","[{""page_index"":0,""viewing_time"":51759}]","51759","","","","","","","","","","","",""
"","","","","","instructions","2","79959","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","[{""page_index"":0,""viewing_time"":27668}]","27668","","","","","","","","","","","",""
"","","","","","audio-button-response","3","147521","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","","67491","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","155690","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","","8109","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","162207","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","","6512","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","190640","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","[{""page_index"":0,""viewing_time"":28432}]","28433","","","","","","","","","","","",""
"","","","","","audio-button-response","7","198104","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","","4640","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","205347","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","","4501","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","212860","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq004_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","1ura9y8uxz0","","4731","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
