"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","614","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","","","","","","","","","","","","","",""
"","","","","","instructions","1","29527","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","[{""page_index"":0,""viewing_time"":28913}]","28913","","","","","","","","","","","",""
"","","","","","instructions","2","80893","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","[{""page_index"":0,""viewing_time"":51364}]","51365","","","","","","","","","","","",""
"","","","","","audio-button-response","3","412818","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","","326232","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","416818","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","[{""page_index"":0,""viewing_time"":3998}]","3999","","","","","","","","","","","",""
"","","","","","audio-button-response","5","426266","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","","6651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","1","hc","3","0","","","","","","",""
"","","","","","audio-button-response","6","437520","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","","8240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","451012","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","","5341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","458706","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","","4611","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","464921","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq022_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","21pecxhmp0x","","4211","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
