"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","54","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","","","","","","","","","","","","",""
"","","","","","instructions","1","1376","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","[{""page_index"":0,""viewing_time"":1322}]","1322","","","","","","","","","","","",""
"","","","","","instructions","2","4015","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","[{""page_index"":0,""viewing_time"":2638}]","2638","","","","","","","","","","","",""
"","","","","","audio-button-response","3","5870","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","1840","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","7983","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","[{""page_index"":0,""viewing_time"":2112}]","2112","","","","","","","","","","","",""
"","","","","","audio-button-response","5","11895","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","3680","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","15760","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","3640","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","18236","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","2229","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","22001","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","3539","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","26820","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","4592","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","29512","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","2459","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","11","31685","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","2172","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","65369","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","[{""page_index"":0,""viewing_time"":3034},{""page_index"":1,""viewing_time"":3141},{""page_index"":2,""viewing_time"":21155},{""page_index"":3,""viewing_time"":1328},{""page_index"":2,""viewing_time"":2704},{""page_index"":3,""viewing_time"":2324}]","33685","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","65421","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","68289","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","2389","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","68340","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","71041","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","2339","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","71098","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","73372","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","2269","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","19","73434","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","76126","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","2320","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","21","76179","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq052_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","2cyrm1hqd12","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
