"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","96","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","","","","","","","","","","","","","",""
"","","","","","instructions","1","1595","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","[{""page_index"":0,""viewing_time"":1499}]","1499","","","","","","","","","","","",""
"","","","","","instructions","2","6611","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","[{""page_index"":0,""viewing_time"":5015}]","5015","","","","","","","","","","","",""
"","","","","","audio-button-response","3","14695","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","","7723","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","19161","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","","4464","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","22445","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","[{""page_index"":0,""viewing_time"":3283}]","3283","","","","","","","","","","","",""
"","","","","","audio-button-response","6","28461","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","","5403","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","34261","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","","5200","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","39544","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","","4672","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","44461","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq020_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","3sjyer6td42","","4528","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
