"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","122","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","","","","","","","","","","","","",""
"","","","","","instructions","1","2514","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","[{""page_index"":0,""viewing_time"":2391}]","2392","","","","","","","","","","","",""
"","","","","","instructions","2","7595","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","[{""page_index"":0,""viewing_time"":5080}]","5081","","","","","","","","","","","",""
"","","","","","audio-button-response","3","19612","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","11877","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","22911","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","3297","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","29691","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","6780","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","44316","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","[{""page_index"":0,""viewing_time"":14623}]","14624","","","","","","","","","","","",""
"","","","","","audio-button-response","7","50225","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","5178","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","55639","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","4696","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","61404","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","4934","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","66817","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","4673","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","72651","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","4969","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","78233","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","4812","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","13","80273","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","2038","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","14","142206","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","[{""page_index"":0,""viewing_time"":9522},{""page_index"":1,""viewing_time"":11174},{""page_index"":2,""viewing_time"":36002},{""page_index"":3,""viewing_time"":5234}]","61932","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","142259","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","148312","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq033_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","4eajwh32uuc","","4841","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
