"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","318","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","","","","","","","","","","","","","",""
"","","","","","instructions","1","23792","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","[{""page_index"":0,""viewing_time"":23473}]","23473","","","","","","","","","","","",""
"","","","","","instructions","2","42166","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","[{""page_index"":0,""viewing_time"":18373}]","18373","","","","","","","","","","","",""
"","","","","","audio-button-response","3","87467","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","","44917","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","94962","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","","6688","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","102728","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","","7765","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","133429","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","[{""page_index"":0,""viewing_time"":30700}]","30700","","","","","","","","","","","",""
"","","","","","audio-button-response","7","153294","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","","16523","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","2","hc","1","0","","","","","","",""
"","","","","","audio-button-response","8","163488","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","","7179","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","175971","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.16","true","9jjntr8qw9v","","9376","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
