"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","123","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","","","","","","","","","","","","",""
"","","","","","instructions","1","3224","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","[{""page_index"":0,""viewing_time"":3099}]","3099","","","","","","","","","","","",""
"","","","","","instructions","2","13362","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","[{""page_index"":0,""viewing_time"":10137}]","10138","","","","","","","","","","","",""
"","","","","","audio-button-response","3","20000","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","6624","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","26387","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","6379","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","30207","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","[{""page_index"":0,""viewing_time"":3817}]","3818","","","","","","","","","","","",""
"","","","","","audio-button-response","6","35067","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","4533","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","0","hc","2","0","","","","","","",""
"","","","","","audio-button-response","7","39375","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","4085","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","43815","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","4224","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","50370","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","6336","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","54976","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","4299","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","59504","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","4299","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","60913","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","1407","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","106621","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","[{""page_index"":0,""viewing_time"":7589},{""page_index"":1,""viewing_time"":14074},{""page_index"":2,""viewing_time"":18197},{""page_index"":3,""viewing_time"":5847}]","45706","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","106679","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","113164","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","6144","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","113217","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","116476","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","2912","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","116529","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","118948","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","2411","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","20","119001","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","21","123320","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","3989","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","1","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","22","123372","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","23","125801","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","2421","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","2","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","24","125853","0.0-8.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","25","130932","0.0-8.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","4811","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1020_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","26","130984","0.0-8.0-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","27","133613","0.0-8.0-1.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","2379","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1019_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","28","133665","0.0-8.0-0.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq036_len120_s10_isi-1p0_0p0_16p0.json","10.629999999999999","true","eo3vt349dzk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
