"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","206","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","","","","","","","","","","","","","",""
"","","","","","instructions","1","438145","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","[{""page_index"":0,""viewing_time"":437938}]","437939","","","","","","","","","","","",""
"","","","","","instructions","2","1072788","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","[{""page_index"":0,""viewing_time"":634641}]","634642","","","","","","","","","","","",""
"","","","","","audio-button-response","3","1085562","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","","12712","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","1090984","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","","5411","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","1102516","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","[{""page_index"":0,""viewing_time"":11529}]","11530","","","","","","","","","","","",""
"","","","","","audio-button-response","6","1108025","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","","4640","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","1113317","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","","4531","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","1118158","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","","4360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","1123676","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq100_len120_s10_isi-1p0_0p0_16p0.json","11.42","true","fqe3cjdhg7b","","4581","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
