"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","54","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","","","","","","","","","","","","","",""
"","","","","","instructions","1","2563","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","[{""page_index"":0,""viewing_time"":2508}]","2508","","","","","","","","","","","",""
"","","","","","instructions","2","6778","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","[{""page_index"":0,""viewing_time"":4215}]","4215","","","","","","","","","","","",""
"","","","","","audio-button-response","3","19850","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","","13061","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","28942","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","","9099","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","31484","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","","2541","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","43789","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","[{""page_index"":0,""viewing_time"":12304}]","12304","","","","","","","","","","","",""
"","","","","","audio-button-response","7","48491","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","53065","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","","4349","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","57554","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq067_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","g78sladlyjx","","4259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
