"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","42","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","","","","","","","","","","","","",""
"","","","","","instructions","1","109114","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","[{""page_index"":0,""viewing_time"":109073}]","109073","","","","","","","","","","","",""
"","","","","","instructions","2","110338","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","[{""page_index"":0,""viewing_time"":1223}]","1224","","","","","","","","","","","",""
"","","","","","audio-button-response","3","117498","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","6571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","121634","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","4133","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","124887","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","[{""page_index"":0,""viewing_time"":3252}]","3252","","","","","","","","","","","",""
"","","","","","audio-button-response","6","129901","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","4748","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","1","hc","3","0","","","","","","",""
"","","","","","audio-button-response","7","135353","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","5184","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","139835","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","4029","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","144286","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","4185","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","149131","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","4632","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","153727","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","4383","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","154902","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq098_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","gcds814w5qs","","1173","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
