"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","176","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","","","","","","","","","","","","","",""
"","","","","","instructions","1","30899","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","[{""page_index"":0,""viewing_time"":30722}]","30723","","","","","","","","","","","",""
"","","","","","instructions","2","33311","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","[{""page_index"":0,""viewing_time"":2412}]","2412","","","","","","","","","","","",""
"","","","","","audio-button-response","3","38330","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","","4923","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","40846","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","","2514","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","45196","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","","4122","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","48846","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","","3646","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","53080","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","","4232","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","62963","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","","9880","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","9","66129","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq079_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","gmur3ymo09l","[{""page_index"":0,""viewing_time"":3165}]","3165","","","","","","","","","","","",""
