"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","117","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","","","","","","","","","","","","","",""
"","","","","","instructions","1","5399","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","[{""page_index"":0,""viewing_time"":5281}]","5281","","","","","","","","","","","",""
"","","","","","instructions","2","8648","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","[{""page_index"":0,""viewing_time"":3248}]","3248","","","","","","","","","","","",""
"","","","","","audio-button-response","3","74594","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","","65547","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","77353","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","","2757","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","85809","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","[{""page_index"":0,""viewing_time"":8455}]","8455","","","","","","","","","","","",""
"","","","","","audio-button-response","6","91403","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","","4859","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","97115","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","","4955","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","102777","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","","4960","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","108421","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq040_len120_s10_isi-1p0_0p0_16p0.json","10.25","true","jw37runfuz9","","4971","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
