"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","125","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","","","","","","","","","","","","","",""
"","","","","","instructions","1","1192","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","[{""page_index"":0,""viewing_time"":1066}]","1067","","","","","","","","","","","",""
"","","","","","instructions","2","4158","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","[{""page_index"":0,""viewing_time"":2966}]","2966","","","","","","","","","","","",""
"","","","","","audio-button-response","3","14898","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","","10597","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","20644","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","","5744","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","21729","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","","1086","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","33287","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","[{""page_index"":0,""viewing_time"":11558}]","11558","","","","","","","","","","","",""
"","","","","","audio-button-response","7","42046","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","","8127","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","1","hc","1","0","","","","","","",""
"","","","","","audio-button-response","8","47254","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","","4545","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","51628","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq078_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","ksx9vft3sql","","3901","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
