"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","242","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","","","","","","","","","","","","","",""
"","","","","","instructions","1","252324","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","[{""page_index"":0,""viewing_time"":252077}]","252078","","","","","","","","","","","",""
"","","","","","instructions","2","2538318","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","[{""page_index"":0,""viewing_time"":454658}]","454659","","","","","","","","","","","",""
"","","","","","audio-button-response","3","2559690","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","","20864","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","2564292","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","","4597","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","2572480","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","[{""page_index"":0,""viewing_time"":8183}]","8184","","","","","","","","","","","",""
"","","","","","audio-button-response","6","2580594","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","","6101","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","2592690","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","","6987","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","2599333","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","","5387","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","2609369","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq094_len120_s10_isi-1p0_0p0_16p0.json","11.1","true","l4cjj2gopdg","","8288","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
