"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","209","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","","","","","","","","","","","","",""
"","","","","","instructions","1","76491","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","[{""page_index"":0,""viewing_time"":76281}]","76281","","","","","","","","","","","",""
"","","","","","instructions","2","85259","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","[{""page_index"":0,""viewing_time"":8768}]","8768","","","","","","","","","","","",""
"","","","","","audio-button-response","3","108781","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","23491","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","112100","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","3320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","131457","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","19360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","134477","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","3021","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","137327","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","2728","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","139241","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","1912","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","9","152755","0.0-3.6-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","13512","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","10","162970","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","[{""page_index"":0,""viewing_time"":10214}]","10214","","","","","","","","","","","",""
"","","","","","audio-button-response","11","168903","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq061_len120_s10_isi-1p0_0p0_16p0.json","10.69","true","pcyudgbxj93","","5029","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
