"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","594","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","","","","","","","","","","","","","",""
"","","","","","instructions","1","5631","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","[{""page_index"":0,""viewing_time"":5036}]","5036","","","","","","","","","","","",""
"","","","","","instructions","2","16084","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","[{""page_index"":0,""viewing_time"":10452}]","10452","","","","","","","","","","","",""
"","","","","","audio-button-response","3","41012","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","","24851","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","41193","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","","181","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","48556","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","","7360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","55534","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","","6971","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","57231","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","","1701","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","79350","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","[{""page_index"":0,""viewing_time"":22117}]","22118","","","","","","","","","","","",""
"","","","","","audio-button-response","9","87431","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq095_len120_s10_isi-1p0_0p0_16p0.json","10.9","true","rt2kl5ofv7h","","5760","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
