"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","139","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","","","","","","","","","","","","",""
"","","","","","instructions","1","15919","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","[{""page_index"":0,""viewing_time"":15778}]","15779","","","","","","","","","","","",""
"","","","","","instructions","2","31263","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","[{""page_index"":0,""viewing_time"":15340}]","15341","","","","","","","","","","","",""
"","","","","","audio-button-response","3","59069","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","27592","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","74174","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","15099","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","87638","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","13469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","95214","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","7571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","289691","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","[{""page_index"":0,""viewing_time"":194475}]","194475","","","","","","","","","","","",""
"","","","","","audio-button-response","8","297539","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","5669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","303569","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","4579","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","309683","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","4739","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","315383","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","4800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","12","321061","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","4629","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","327646","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","4669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","14","329923","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","2274","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","373322","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","[{""page_index"":0,""viewing_time"":4578},{""page_index"":1,""viewing_time"":8456},{""page_index"":2,""viewing_time"":26093},{""page_index"":3,""viewing_time"":4270}]","43397","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","373376","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","379961","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq081_len120_s10_isi-1p0_0p0_16p0.json","11.04","true","sbgbnc7bmvt","","4229","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
