"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","565","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","","","","","","","","","","","","",""
"","","","","","instructions","1","7650","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","[{""page_index"":0,""viewing_time"":7081}]","7082","","","","","","","","","","","",""
"","","","","","instructions","2","14623","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","[{""page_index"":0,""viewing_time"":6970}]","6970","","","","","","","","","","","",""
"","","","","","audio-button-response","3","268138","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","138789","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","293646","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","[{""page_index"":0,""viewing_time"":25506}]","25507","","","","","","","","","","","",""
"","","","","","audio-button-response","5","307813","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","9091","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","315950","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","6312","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","331156","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","11109","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","1","hc","1","0","","","","","","",""
"","","","","","audio-button-response","8","338774","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","5139","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","350546","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","6901","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","360640","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","7960","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","11","364421","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","3780","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","452004","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","[{""page_index"":0,""viewing_time"":8119},{""page_index"":1,""viewing_time"":20061},{""page_index"":2,""viewing_time"":46190},{""page_index"":3,""viewing_time"":13212}]","87582","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","452056","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","463931","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","6981","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","463994","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","469714","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","3619","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","469777","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","473157","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","3371","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","2","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","19","473210","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","480178","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","3181","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","21","480241","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","22","483112","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq071_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","tzbkuehr9z8","","2869","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","1","","","","","",""
