"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","111","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","","","","","","","","","","","","","",""
"","","","","","instructions","1","28047","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","[{""page_index"":0,""viewing_time"":27934}]","27935","","","","","","","","","","","",""
"","","","","","instructions","2","50229","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","[{""page_index"":0,""viewing_time"":22180}]","22181","","","","","","","","","","","",""
"","","","","","audio-button-response","3","61751","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","","11080","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","66677","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","","4920","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","110515","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","","43840","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","113590","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","","2731","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","124899","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","[{""page_index"":0,""viewing_time"":11308}]","11309","","","","","","","","","","","",""
"","","","","","audio-button-response","8","133394","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","","7811","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","138921","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq090_len120_s10_isi-1p0_0p0_16p0.json","10.66","true","u1rnbeh5e68","","4816","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
