"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","494","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","","","","","","","","","","","","",""
"","","","","","instructions","1","9163","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","[{""page_index"":0,""viewing_time"":8669}]","8669","","","","","","","","","","","",""
"","","","","","instructions","2","21137","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","[{""page_index"":0,""viewing_time"":11973}]","11973","","","","","","","","","","","",""
"","","","","","audio-button-response","3","44749","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","23243","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","48208","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","3456","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","54055","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","5856","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","64872","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","10816","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","68561","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","3691","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","79252","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","[{""page_index"":0,""viewing_time"":10690}]","10690","","","","","","","","","","","",""
"","","","","","audio-button-response","9","85458","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","4533","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","91431","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","4395","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","96590","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","4235","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","12","102726","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","4341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","13","107978","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","14","114530","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","4363","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","15","116875","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","2344","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","16","195310","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","[{""page_index"":0,""viewing_time"":5693},{""page_index"":1,""viewing_time"":11701},{""page_index"":2,""viewing_time"":56706},{""page_index"":3,""viewing_time"":4334}]","78434","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","195362","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","204265","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","6496","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","19","204326","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","210109","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","3701","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","21","210160","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq042_len120_s10_isi-1p0_0p0_16p0.json","10.93","true","zuyt7v6aw3z","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
