"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","125","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","","","","","","","","","","","","","",""
"","","","","","instructions","1","1269","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","[{""page_index"":0,""viewing_time"":1144}]","1144","","","","","","","","","","","",""
"","","","","","instructions","2","2481","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","[{""page_index"":0,""viewing_time"":1211}]","1211","","","","","","","","","","","",""
"","","","","","audio-button-response","3","9013","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","","6461","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","12677","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","","3660","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","14064","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","","1390","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","15040","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","[{""page_index"":0,""viewing_time"":976}]","976","","","","","","","","","","","",""
"","","","","","audio-button-response","7","20311","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","","4450","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","25202","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","","4380","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","30164","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq077_len120_s15_isi-1p0_0p0_16p0.json","10.870000000000001","true","1wwa4ewjk5n","","4450","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
