"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","147","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","","","","","","","","","","","","",""
"","","","","","instructions","1","6748","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","[{""page_index"":0,""viewing_time"":6596}]","6596","","","","","","","","","","","",""
"","","","","","instructions","2","14483","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","[{""page_index"":0,""viewing_time"":7734}]","7735","","","","","","","","","","","",""
"","","","","","audio-button-response","3","49764","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","34709","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","94979","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","45237","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","95467","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","11","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","123948","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","28235","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","124923","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","971","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","125251","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","9","192467","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","[{""page_index"":0,""viewing_time"":67214}]","67215","","","","","","","","","","","",""
"","","","","","audio-button-response","10","213259","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","20032","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","0","hc","3","0","","","","","","",""
"","","","","","audio-button-response","11","219219","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","5259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","224859","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","4747","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","13","229955","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","4395","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","14","235379","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","4928","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","15","240707","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","4651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","16","245509","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","4800","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","17","376755","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","[{""page_index"":0,""viewing_time"":7077},{""page_index"":1,""viewing_time"":15080},{""page_index"":2,""viewing_time"":101512},{""page_index"":3,""viewing_time"":7576}]","131246","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","376811","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","385155","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq079_len120_s15_isi-1p0_0p0_16p0.json","10.95","true","1xmb7a3o8mm","","7531","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","2","demo","","","0","","","","","",""
