"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","140","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","","","","","","","","","","","","","",""
"","","","","","instructions","1","2816","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","[{""page_index"":0,""viewing_time"":2675}]","2675","","","","","","","","","","","",""
"","","","","","instructions","2","68731","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","[{""page_index"":0,""viewing_time"":65913}]","65913","","","","","","","","","","","",""
"","","","","","audio-button-response","3","77309","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","","8545","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","79123","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","","1817","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","84779","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","[{""page_index"":0,""viewing_time"":5655}]","5655","","","","","","","","","","","",""
"","","","","","audio-button-response","6","91442","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","","5956","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","97114","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","","4969","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","102690","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","","4865","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","108665","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq035_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2dtkmq89sf3","","5254","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
