"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","44","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","","","","","","","","","","","","",""
"","","","","","instructions","1","1321","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","[{""page_index"":0,""viewing_time"":1276}]","1276","","","","","","","","","","","",""
"","","","","","instructions","2","3372","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","[{""page_index"":0,""viewing_time"":2050}]","2051","","","","","","","","","","","",""
"","","","","","audio-button-response","3","13657","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","10251","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","19960","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","[{""page_index"":0,""viewing_time"":6303}]","6303","","","","","","","","","","","",""
"","","","","","audio-button-response","5","25676","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","5520","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","0","hc","2","0","","","","","","",""
"","","","","","audio-button-response","6","30867","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","4909","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","35464","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","4341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","40815","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","5149","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","45362","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","4280","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","49883","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","4309","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","11","51014","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","1130","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","75415","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","[{""page_index"":0,""viewing_time"":1977},{""page_index"":1,""viewing_time"":5087},{""page_index"":2,""viewing_time"":15262},{""page_index"":3,""viewing_time"":2074}]","24400","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","75472","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq016_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","2fn553cvyx7","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
