"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","153","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","","","","","","","","","","","","","",""
"","","","","","instructions","1","16575","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","[{""page_index"":0,""viewing_time"":16421}]","16422","","","","","","","","","","","",""
"","","","","","instructions","2","19408","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","[{""page_index"":0,""viewing_time"":2830}]","2830","","","","","","","","","","","",""
"","","","","","audio-button-response","3","31777","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","","11971","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","37445","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","","5659","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","38650","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","","1211","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","66183","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","[{""page_index"":0,""viewing_time"":27530}]","27533","","","","","","","","","","","",""
"","","","","","audio-button-response","7","72349","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","","5501","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","77951","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","","4821","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","83396","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq076_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.16","true","2kjvlyc22lx","","4760","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
