"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","181","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","","","","","","","","","","","","",""
"","","","","","instructions","1","3909","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","[{""page_index"":0,""viewing_time"":3725}]","3725","","","","","","","","","","","",""
"","","","","","instructions","2","281829","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","[{""page_index"":0,""viewing_time"":277920}]","277920","","","","","","","","","","","",""
"","","","","","audio-button-response","3","289085","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","7232","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","298359","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","9272","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","302413","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","[{""page_index"":0,""viewing_time"":4054}]","4054","","","","","","","","","","","",""
"","","","","","audio-button-response","6","311997","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","4291","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","318909","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","5120","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","327749","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","333653","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","4240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","340205","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","3851","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","345133","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq011_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","3p2ylpqdzz9","","3629","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
