"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","181","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","","","","","","","","","","","","","",""
"","","","","","instructions","1","3216","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","[{""page_index"":0,""viewing_time"":3033}]","3034","","","","","","","","","","","",""
"","","","","","instructions","2","18993","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","[{""page_index"":0,""viewing_time"":15774}]","15775","","","","","","","","","","","",""
"","","","","","audio-button-response","3","96057","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","","76811","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","103700","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","","7171","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","113988","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","","10288","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","126873","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","[{""page_index"":0,""viewing_time"":12880}]","12881","","","","","","","","","","","",""
"","","","","","audio-button-response","7","132142","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","","4440","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","137990","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","","4448","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","142878","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq012_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","425tbw1vjvg","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
