"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","252","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","","","","","","","","","","","","",""
"","","","","","instructions","1","4486","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","[{""page_index"":0,""viewing_time"":4233}]","4233","","","","","","","","","","","",""
"","","","","","instructions","2","22275","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","[{""page_index"":0,""viewing_time"":17788}]","17788","","","","","","","","","","","",""
"","","","","","audio-button-response","3","50476","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","28112","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","62912","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","12421","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","68578","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","5659","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","197227","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","[{""page_index"":0,""viewing_time"":128647}]","128648","","","","","","","","","","","",""
"","","","","","audio-button-response","7","204508","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","6509","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","209686","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","4451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","214633","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","220902","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","4840","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","226133","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","4491","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","231051","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","4381","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","13","234113","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","","3060","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","14","309317","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","5b7pydsdq6g","[{""page_index"":0,""viewing_time"":6539},{""page_index"":1,""viewing_time"":16968},{""page_index"":2,""viewing_time"":43514},{""page_index"":3,""viewing_time"":8182}]","75203","","","","","","","","","","","",""
