"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","99","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","2787","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","[{""page_index"":0,""viewing_time"":2688}]","2688","","","","","","","","","","","",""
"","","","","","instructions","2","13881","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","[{""page_index"":0,""viewing_time"":11094}]","11094","","","","","","","","","","","",""
"","","","","","audio-button-response","3","28311","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","","14432","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","31984","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","","3672","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","42618","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","","10629","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","53832","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","[{""page_index"":0,""viewing_time"":11214}]","11214","","","","","","","","","","","",""
"","","","","","audio-button-response","7","59309","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","","4731","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","64692","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","","4701","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","70176","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq048_len120_s15_isi-1p0_0p0_16p0.json","10.23","true","6kxb4eah6bb","","4701","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
