"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","42","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","","","","","","","","","","","","","",""
"","","","","","instructions","1","11042","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","[{""page_index"":0,""viewing_time"":10999}]","10999","","","","","","","","","","","",""
"","","","","","instructions","2","26553","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","[{""page_index"":0,""viewing_time"":15511}]","15511","","","","","","","","","","","",""
"","","","","","audio-button-response","3","42917","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","","16331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","54533","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","","11621","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","63689","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","","9149","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","66757","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","","3069","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","79657","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","","12901","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","95185","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","[{""page_index"":0,""viewing_time"":15528}]","15528","","","","","","","","","","","",""
"","","","","","audio-button-response","9","108273","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq042_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","6vh1toga7s5","","12949","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
