"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","683","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","","","","","","","","","","","","",""
"","","","","","instructions","1","4330","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","[{""page_index"":0,""viewing_time"":3644}]","3645","","","","","","","","","","","",""
"","","","","","instructions","2","17603","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","[{""page_index"":0,""viewing_time"":13272}]","13273","","","","","","","","","","","",""
"","","","","","audio-button-response","3","65373","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","46880","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","69025","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","3411","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","72891","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","3869","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","75760","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","2861","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","100232","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","[{""page_index"":0,""viewing_time"":24471}]","24472","","","","","","","","","","","",""
"","","","","","audio-button-response","8","112709","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","8680","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","124146","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","7800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","132393","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","5181","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","140903","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq068_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","jy752y8crvr","","5069","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
