"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","1149","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","","","","","","","","","","","","",""
"","","","","","instructions","1","71020","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","[{""page_index"":0,""viewing_time"":69870}]","69871","","","","","","","","","","","",""
"","","","","","instructions","2","78859","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","[{""page_index"":0,""viewing_time"":7837}]","7838","","","","","","","","","","","",""
"","","","","","audio-button-response","3","86356","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","7501","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","98467","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","[{""page_index"":0,""viewing_time"":12103}]","12103","","","","","","","","","","","",""
"","","","","","audio-button-response","5","110129","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","5600","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","124721","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","5101","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","138993","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","4800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","160693","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","4901","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","177178","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","5152","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","193377","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","4901","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","11","196399","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","3018","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","281620","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","[{""page_index"":0,""viewing_time"":7978},{""page_index"":1,""viewing_time"":17248},{""page_index"":2,""viewing_time"":18458},{""page_index"":3,""viewing_time"":41536}]","85220","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","281678","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.04","true","kyvczqlm2gp","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
