"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","128","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","","","","","","","","","","","","",""
"","","","","","instructions","1","13124","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","[{""page_index"":0,""viewing_time"":12996}]","12996","","","","","","","","","","","",""
"","","","","","instructions","2","37189","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","[{""page_index"":0,""viewing_time"":24064}]","24065","","","","","","","","","","","",""
"","","","","","audio-button-response","3","51356","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","14025","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","58006","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","[{""page_index"":0,""viewing_time"":6648}]","6648","","","","","","","","","","","",""
"","","","","","audio-button-response","5","61255","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","2525","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","6","72722","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","10704","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","81238","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","7790","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","87121","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","5149","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","92555","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","4708","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","98222","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","4917","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","11","100895","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","2672","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","250335","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","[{""page_index"":0,""viewing_time"":9642},{""page_index"":1,""viewing_time"":15900},{""page_index"":2,""viewing_time"":118286},{""page_index"":3,""viewing_time"":5617}]","149445","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","250389","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","261188","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","9758","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","1","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","261240","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","265095","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","navc5rsb3dz","","3036","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","0","","","","","",""
