"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","213","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","","","","","","","","","","","","","",""
"","","","","","instructions","1","4854","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","[{""page_index"":0,""viewing_time"":4640}]","4640","","","","","","","","","","","",""
"","","","","","instructions","2","9794","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","[{""page_index"":0,""viewing_time"":4938}]","4939","","","","","","","","","","","",""
"","","","","","audio-button-response","3","21522","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","","11639","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","40445","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","","18924","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","56343","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","","15900","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","57777","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","","1434","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","72341","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","[{""page_index"":0,""viewing_time"":14569}]","14569","","","","","","","","","","","",""
"","","","","","audio-button-response","8","78966","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","","6037","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","0","hc","2","0","","","","","","",""
"","","","","","audio-button-response","9","83844","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq010_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","oxq2zogwtxk","","4464","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
