"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","102","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","","","","","","","","","","","","","",""
"","","","","","instructions","1","1404","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","[{""page_index"":0,""viewing_time"":1299}]","1299","","","","","","","","","","","",""
"","","","","","instructions","2","5938","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","[{""page_index"":0,""viewing_time"":4533}]","4533","","","","","","","","","","","",""
"","","","","","audio-button-response","3","17811","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","","11651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","22683","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","","4869","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","44171","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","[{""page_index"":0,""viewing_time"":21487}]","21488","","","","","","","","","","","",""
"","","","","","audio-button-response","6","49195","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","","4989","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","53667","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","","4448","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","58243","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","","4539","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","62435","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq018_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","r9houq1q2cz","","4160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
