"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","147","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","","","","","","","","","","","","",""
"","","","","","instructions","1","3734","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","[{""page_index"":0,""viewing_time"":3586}]","3586","","","","","","","","","","","",""
"","","","","","instructions","2","6134","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","[{""page_index"":0,""viewing_time"":2399}]","2399","","","","","","","","","","","",""
"","","","","","audio-button-response","3","11912","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","5651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","17791","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","[{""page_index"":0,""viewing_time"":5877}]","5878","","","","","","","","","","","",""
"","","","","","audio-button-response","5","23381","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","4880","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","28816","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","4720","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","34059","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","4469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","39064","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","4499","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","44082","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","4520","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","49476","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","4600","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","11","52181","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","2704","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","79830","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","[{""page_index"":0,""viewing_time"":4076},{""page_index"":1,""viewing_time"":7009},{""page_index"":2,""viewing_time"":10902},{""page_index"":3,""viewing_time"":5661}]","27648","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","79882","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","83703","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","3059","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","83763","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","86879","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","2549","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","86931","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","89334","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","2408","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","19","89396","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","92547","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq071_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","sn1b5hn5zw2","","2349","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","3","demo","","","0","","","","","",""
