"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","95","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","","","","","","","","","","","","",""
"","","","","","instructions","1","3137","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","[{""page_index"":0,""viewing_time"":3040}]","3041","","","","","","","","","","","",""
"","","","","","instructions","2","12992","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","[{""page_index"":0,""viewing_time"":9854}]","9854","","","","","","","","","","","",""
"","","","","","audio-button-response","3","31960","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","18891","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","32038","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","80","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","37596","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","5560","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","41511","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","3909","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","53481","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","[{""page_index"":0,""viewing_time"":11969}]","11969","","","","","","","","","","","",""
"","","","","","audio-button-response","8","58802","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","4669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","0","hc","3","0","","","","","","",""
"","","","","","audio-button-response","9","63651","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","4451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","68746","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","4608","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","74540","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","5120","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","12","79535","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","4381","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","84464","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","4280","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","14","87051","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","2586","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","176825","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","[{""page_index"":0,""viewing_time"":4442},{""page_index"":1,""viewing_time"":15074},{""page_index"":2,""viewing_time"":61100},{""page_index"":3,""viewing_time"":9158}]","89774","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","176876","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","180852","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","2632","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","180903","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","183958","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","2499","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","20","184019","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq051_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","u3egqw7zcew","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
