"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","658","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","","","","","","","","","","","","","",""
"","","","","","instructions","1","3619","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","[{""page_index"":0,""viewing_time"":2959}]","2960","","","","","","","","","","","",""
"","","","","","instructions","2","25526","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","[{""page_index"":0,""viewing_time"":21905}]","21906","","","","","","","","","","","",""
"","","","","","audio-button-response","3","55102","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","","29341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","59814","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","","4709","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","66133","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","","6320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","78318","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","[{""page_index"":0,""viewing_time"":12183}]","12184","","","","","","","","","","","",""
"","","","","","audio-button-response","7","86037","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","","5741","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","92653","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","","4989","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","98733","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq015_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","ubnn9gwusng","","4539","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
