"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","28","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","","","","","","","","","","","","","",""
"","","","","","instructions","1","2417","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","[{""page_index"":0,""viewing_time"":2389}]","2389","","","","","","","","","","","",""
"","","","","","instructions","2","32908","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","[{""page_index"":0,""viewing_time"":30489}]","30490","","","","","","","","","","","",""
"","","","","","audio-button-response","3","72274","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","","39171","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","76161","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","","3869","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","80435","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","","4280","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","106287","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","[{""page_index"":0,""viewing_time"":25851}]","25851","","","","","","","","","","","",""
"","","","","","audio-button-response","7","112409","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","","5728","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","117076","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","","4312","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","121708","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq058_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","uqga1y4d528","","4371","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
