"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","58","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","","","","","","","","","","","","","",""
"","","","","","instructions","1","2374","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","[{""page_index"":0,""viewing_time"":2316}]","2316","","","","","","","","","","","",""
"","","","","","instructions","2","9841","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","[{""page_index"":0,""viewing_time"":7466}]","7466","","","","","","","","","","","",""
"","","","","","audio-button-response","3","18441","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","","8528","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","22091","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","","3648","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","26626","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","","4533","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","31774","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","","5147","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","40225","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","[{""page_index"":0,""viewing_time"":8450}]","8451","","","","","","","","","","","",""
"","","","","","audio-button-response","8","45608","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","","4976","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","49992","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","vspxg2ukfvc","","4080","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
