"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","128","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","","","","","","","","","","","","","",""
"","","","","","instructions","1","2766","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","[{""page_index"":0,""viewing_time"":2637}]","2637","","","","","","","","","","","",""
"","","","","","instructions","2","6876","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","[{""page_index"":0,""viewing_time"":4110}]","4110","","","","","","","","","","","",""
"","","","","","audio-button-response","3","12183","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","","5272","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","25049","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","[{""page_index"":0,""viewing_time"":12865}]","12865","","","","","","","","","","","",""
"","","","","","audio-button-response","5","30162","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","34948","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","","4280","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","39715","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","","4240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","44268","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","","4040","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","49137","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq046_len120_s15_isi-1p0_0p0_16p0.json","11.3","true","ybwavv7vd6e","","4352","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
