"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","222","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","","","","","","","","","","","","","",""
"","","","","","instructions","1","4731","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","[{""page_index"":0,""viewing_time"":4508}]","4508","","","","","","","","","","","",""
"","","","","","instructions","2","10299","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","[{""page_index"":0,""viewing_time"":5567}]","5568","","","","","","","","","","","",""
"","","","","","audio-button-response","3","20623","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","","10159","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","27070","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","","6444","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","35865","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","[{""page_index"":0,""viewing_time"":8794}]","8794","","","","","","","","","","","",""
"","","","","","audio-button-response","6","41899","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","","5259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","47284","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","","4598","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","52495","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","","4667","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","57790","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq017_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","0cmxrdpo8sl","","4563","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
