"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","508","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","","","","","","","","","","","","","",""
"","","","","","instructions","1","912372","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","[{""page_index"":0,""viewing_time"":911862}]","911862","","","","","","","","","","","",""
"","","","","","instructions","2","1108732","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","[{""page_index"":0,""viewing_time"":196359}]","196359","","","","","","","","","","","",""
"","","","","","audio-button-response","3","1116099","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","","6712","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","1123787","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","[{""page_index"":0,""viewing_time"":7686}]","7686","","","","","","","","","","","",""
"","","","","","audio-button-response","5","1131867","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","","4949","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","6","1138515","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","","4971","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","1145931","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","","4981","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","1152323","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","","4851","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","1159619","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","","5232","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","1166923","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq083_len120_s70_isi-1p0_0p0_16p0.json","10.75","true","2qpez1dc4rk","","4840","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
