"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","91","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","","","","","","","","","","","","",""
"","","","","","instructions","1","278635","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","[{""page_index"":0,""viewing_time"":278543}]","278543","","","","","","","","","","","",""
"","","","","","instructions","2","313194","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","[{""page_index"":0,""viewing_time"":34558}]","34558","","","","","","","","","","","",""
"","","","","","audio-button-response","3","377962","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","64720","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","387153","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","9171","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","389610","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","2451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","408777","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","[{""page_index"":0,""viewing_time"":19167}]","19167","","","","","","","","","","","",""
"","","","","","audio-button-response","7","413538","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","4291","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","417793","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","3931","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","422201","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","4059","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","427058","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","4531","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","431953","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq026_len120_s70_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xfobl7l40y","","4560","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
