"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","272","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","","","","","","","","","","","","","",""
"","","","","","instructions","1","11015","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","[{""page_index"":0,""viewing_time"":10742}]","10743","","","","","","","","","","","",""
"","","","","","instructions","2","18303","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","[{""page_index"":0,""viewing_time"":7285}]","7286","","","","","","","","","","","",""
"","","","","","audio-button-response","3","37855","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","","19181","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","43927","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","","6069","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","46927","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","","3000","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","60743","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","[{""page_index"":0,""viewing_time"":13813}]","13813","","","","","","","","","","","",""
"","","","","","audio-button-response","7","67495","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","","5611","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","76695","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","","4120","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","82335","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq056_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","4xrzcmuo5za","","3960","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
