"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","326","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","","","","","","","","","","","","",""
"","","","","","instructions","1","2952","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","[{""page_index"":0,""viewing_time"":2625}]","2625","","","","","","","","","","","",""
"","","","","","instructions","2","9463","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","[{""page_index"":0,""viewing_time"":6509}]","6510","","","","","","","","","","","",""
"","","","","","audio-button-response","3","27917","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","18131","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","32618","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","4701","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","45755","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","[{""page_index"":0,""viewing_time"":13135}]","13135","","","","","","","","","","","",""
"","","","","","audio-button-response","6","56435","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","7899","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","63350","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","4069","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","70993","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","4669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","0","hc","3","0","","","","","","",""
"","","","","","audio-button-response","9","78341","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","85888","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","4469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","93276","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","4371","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","12","97650","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq028_len120_s70_isi-1p0_0p0_16p0.json","10.93","true","6994k5y7b97","","4372","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
