"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","180","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","","","","","","","","","","","","","",""
"","","","","","instructions","1","32531","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","[{""page_index"":0,""viewing_time"":32348}]","32349","","","","","","","","","","","",""
"","","","","","instructions","2","41652","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","[{""page_index"":0,""viewing_time"":9119}]","9119","","","","","","","","","","","",""
"","","","","","audio-button-response","3","57115","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","","15435","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","60642","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","","3524","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","63853","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","","3210","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","74905","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","[{""page_index"":0,""viewing_time"":11051}]","11051","","","","","","","","","","","",""
"","","","","","audio-button-response","7","82450","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","","6693","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","88304","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","","5010","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","93802","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq052_len120_s70_isi-1p0_0p0_16p0.json","11.16","true","791od3p8t8p","","4719","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
