"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","149","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","","","","","","","","","","","","",""
"","","","","","instructions","1","21507","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","[{""page_index"":0,""viewing_time"":21357}]","21357","","","","","","","","","","","",""
"","","","","","instructions","2","22869","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","[{""page_index"":0,""viewing_time"":1361}]","1361","","","","","","","","","","","",""
"","","","","","audio-button-response","3","27380","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","4451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","31729","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","[{""page_index"":0,""viewing_time"":4347}]","4347","","","","","","","","","","","",""
"","","","","","audio-button-response","5","37894","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","4771","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","43847","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","4800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","49467","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","4429","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","54784","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","4821","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","59991","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","4469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","64914","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","4520","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","11","66255","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","1340","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","111586","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","[{""page_index"":0,""viewing_time"":6486},{""page_index"":1,""viewing_time"":10189},{""page_index"":2,""viewing_time"":21062},{""page_index"":3,""viewing_time"":7594}]","45330","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","111642","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq060_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","85vbmjkv46c","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
